CustomerID,Recency,Frequency,Monetary
12347.0,2,7,2866.770000000002
12348.0,248,1,17.0
12349.0,18,1,1155.7500000000002
12350.0,310,1,274.0
12352.0,36,7,1147.44
12353.0,204,1,29.300000000000004
12354.0,232,1,651.55
12355.0,214,1,189.0
12356.0,245,2,444.56
12357.0,33,1,1999.6100000000001
12358.0,1,2,456.36
12359.0,57,4,3491.8200000000015
12360.0,52,3,1801.0999999999992
12361.0,287,1,174.89999999999998
12362.0,3,10,4175.92
12363.0,109,2,194.28
12364.0,7,3,682.3799999999999
12365.0,291,1,307.94
12367.0,4,1,117.30000000000001
12370.0,51,4,2092.500000000001
12371.0,59,1,1280.06
12372.0,71,3,598.8000000000001
12373.0,311,1,299.1
12374.0,25,1,509.5300000000001
12375.0,10,2,315.1000000000001
12377.0,315,2,1206.1800000000003
12378.0,129,1,3192.2799999999997
12379.0,81,2,723.2399999999997
12380.0,21,4,1631.1499999999992
12381.0,4,5,1137.1200000000001
12383.0,184,5,830.78
12384.0,28,2,351.72
12386.0,366,1,155.7
12388.0,15,6,1961.740000000001
12390.0,79,1,313.3
12391.0,21,1,396.80000000000007
12393.0,72,4,1167.0999999999997
12394.0,217,1,331.18
12395.0,19,12,1745.45
12397.0,35,2,1610.0300000000009
12398.0,45,1,830.3200000000002
12399.0,119,4,559.4699999999997
12401.0,303,1,32.85
12402.0,323,1,195.6
12403.0,49,1,92.9
12405.0,148,1,1152.8700000000001
12406.0,22,2,1816.2900000000009
12407.0,49,5,810.51
12408.0,32,5,1740.1699999999996
12409.0,78,3,1031.55
12410.0,308,1,258.15000000000003
12412.0,74,3,840.48
12413.0,66,3,589.0
12414.0,217,3,264.45
12415.0,24,8,2405.6400000000017
12417.0,3,9,2076.359999999999
12418.0,112,1,410.78000000000003
12420.0,63,1,373.82000000000005
12421.0,15,4,509.41
12422.0,95,3,627.3099999999997
12423.0,0,8,1303.53
12424.0,162,2,284.92
12425.0,78,1,425.1000000000002
12426.0,194,1,491.2799999999999
12427.0,21,3,460.36
12428.0,25,7,4656.49
12429.0,9,4,1871.1400000000008
12430.0,43,1,158.52
12431.0,60,13,3791.230000000002
12432.0,42,4,2055.7799999999997
12433.0,0,7,5081.170000000002
12434.0,84,2,756.24
12435.0,267,1,78.0
12436.0,99,1,363.01000000000005
12437.0,1,17,1921.380000000001
12438.0,14,2,1429.78
12441.0,366,1,124.05000000000001
12442.0,3,1,75.48
12444.0,21,5,2398.5599999999995
12445.0,22,1,17.4
12446.0,57,1,783.8599999999999
12447.0,243,1,411.59000000000003
12448.0,44,1,242.61
12449.0,22,4,2686.0200000000004
12450.0,173,1,101.88
12451.0,10,5,4528.0700000000015
12452.0,16,1,303.57000000000005
12453.0,134,1,614.09
12454.0,56,1,164.20000000000002
12455.0,73,5,849.0600000000002
12456.0,44,3,1539.8800000000006
12457.0,86,2,946.93
12458.0,71,2,505.58
12461.0,154,1,605.3200000000002
12462.0,18,2,689.9000000000001
12463.0,53,4,1109.78
12464.0,149,4,76.5
12465.0,17,2,581.89
12468.0,187,2,491.99
12471.0,2,26,6338.300000000006
12472.0,32,7,4286.970000000007
12473.0,53,3,1907.48
12474.0,17,18,5409.3
12475.0,53,1,538.8399999999999
12476.0,15,10,3338.9700000000003
12477.0,22,6,7671.620000000002
12478.0,3,1,511.99
12479.0,11,1,366.59
12480.0,28,4,2212.8399999999997
12481.0,22,10,2383.5800000000013
12483.0,17,7,1248.7000000000003
12484.0,35,4,3082.369999999998
12488.0,9,3,870.0800000000002
12489.0,336,1,197.25
12490.0,5,10,3707.269999999998
12491.0,38,1,335.15000000000003
12492.0,63,2,201.10999999999996
12493.0,165,2,332.91
12494.0,15,7,843.7500000000003
12498.0,21,3,349.7
12500.0,49,7,414.72999999999996
12501.0,336,1,1575.3
12502.0,95,5,1849.7199999999993
12506.0,232,1,73.50000000000003
12507.0,155,2,253.15
12508.0,26,2,397.88000000000005
12509.0,284,1,124.5
12510.0,142,2,601.4499999999999
12512.0,66,2,121.68000000000005
12513.0,112,1,404.84
12514.0,267,1,806.9800000000002
12515.0,353,1,164.39999999999998
12516.0,77,2,270.48
12517.0,28,4,2274.650000000001
12518.0,0,5,1468.3899999999994
12519.0,63,1,214.03999999999996
12520.0,79,5,1913.3599999999997
12521.0,142,1,530.73
12522.0,39,2,133.76
12523.0,19,11,1194.7300000000005
12524.0,9,8,1405.9499999999994
12526.0,0,3,1091.9200000000003
12527.0,81,3,129.43
12528.0,9,6,1025.63
12530.0,59,4,1092.1599999999999
12531.0,14,1,95.27
12532.0,30,1,304.46999999999997
12534.0,130,1,759.13
12535.0,91,2,573.3500000000001
12536.0,59,1,3157.5900000000024
12538.0,29,1,303.99
12539.0,22,4,3970.059999999998
12540.0,19,17,6036.959999999995
12541.0,29,3,560.82
12544.0,36,1,316.7
12545.0,75,2,554.2
12546.0,46,2,986.0800000000003
12547.0,280,1,30.599999999999998
12548.0,166,1,67.19999999999999
12550.0,79,1,739.6999999999994
12551.0,357,1,168.0
12552.0,39,1,204.46999999999997
12553.0,8,10,2779.6799999999985
12556.0,50,2,543.3299999999997
12558.0,7,1,94.76000000000002
12559.0,319,1,273.44999999999993
12560.0,5,2,1624.12
12561.0,302,1,196.85
12562.0,8,7,2568.6000000000013
12564.0,261,1,352.05000000000007
12565.0,288,1,145.92
12566.0,86,1,130.15
12567.0,22,10,6837.560000000004
12569.0,2,27,2219.889999999999
12571.0,39,2,330.96999999999997
12572.0,8,2,687.17
12573.0,227,1,150.59
12574.0,315,1,162.54999999999998
12576.0,35,5,1153.07
12577.0,35,3,595.4000000000002
12578.0,21,2,2109.7600000000007
12579.0,78,1,318.91999999999996
12580.0,246,1,379.7
12581.0,39,1,159.26
12582.0,238,2,300.7199999999999
12583.0,2,15,3475.930000000001
12584.0,3,8,1567.1000000000004
12585.0,234,2,1027.85
12586.0,17,1,183.66
12587.0,7,1,104.0
12588.0,39,1,79.65
12589.0,28,2,327.28
